path,az_sentence,sentence
common_voice_az_35250049.mp3,Qəbirlərin əksəriyyətinin yerüstü əlamətləri itmiş və baş daşları torpağın altında qalmışdır.,قبیرلرین اکثریّتی‌نین یئروستو علامتلری ایتمیش و باش داشلاری توْرپاغین آلتیندا قالمیشدیر.
common_voice_az_35250050.mp3,Ancaq bu illərdə ona hər hansı bir ödəniş olduğu məlum deyil.,آنجاق بو ایللرده اوْنا هر هانسی بیر اؤدنیش اوْلدوغو معلوم دئییل.
common_voice_az_35250051.mp3,İqlimi kontinental mülayimdir.,ایقلیمی کوْنتینئنتال مۆلاییمدیر.
common_voice_az_35250060.mp3,Bu növ sürətlə çökən çaylar və bitki örtüyünə malik suları üstün tutur.,بو نؤع سۆرعتله چؤکن چایلار و بیتکی اؤرتوگونه مالیک سۇلاری اۆستون تۇتور.
common_voice_az_35250061.mp3,Həyat yoldaşı və övladı evdən çıxıb gedirlər.,حیات یوْلداشی و اؤولادی ائودن چؽخیب گئدیرلر.
common_voice_az_35250062.mp3,Almaniyada dosent vəzifəsi Azərbaycandakı ilə oxşardır.,آلمانی‌یادا دوْسئنت وظیفه‌سی آذربایجانداکی ایله اوْخشاردیر.
common_voice_az_35250094.mp3,Bu ehtiyac nə vaxt başlayır?,بو احتیاج نه واخت باشلاییر؟
common_voice_az_35250095.mp3,Doğu Türküstan ilə sərhəd olan Qırğızıstan kiçik bir ölkə olduğu üçün Çinin təhdidi altındadır.,دوْغو تۆرکوستان ایله سرحد اوْلان قؽرغیزیستان کیچیک بیر اؤلکه اوْلدوغو اۆچون چینین تهدیدی آلتیندادیر.
common_voice_az_35250097.mp3,Səpələnmiş taxıl və pullar rifah və bolluq əlamətidir.,سپه‌لنمیش تاخیل و پۇللار ریفاه و بوْللوق علامتیدیر.
common_voice_az_35250114.mp3,Bundan sonra Üzeyir Hacıbəyovun Leyli və Məcnun operası səhnəyə qoyulmuşdur.,بۇندان سوْنرا اۆزئییر هاجیبیووون لئیلی و مجنون اوْپراسی صحنه‌یه قوْیولموشدور.
common_voice_az_35250115.mp3,Bəzən üçbucaq formasında olur.,بعضاً اۆچبوجاق فوْرماسیندا اوْلور.
common_voice_az_35250116.mp3,Ovuc içi mənası da mövcuddur.,اوْووج ایچی معناسی دا مؤوجوددور.
common_voice_az_36729339.mp3,Məqbərənin yaxınlığında ölməz şairin yaratdığı əsərləri tərənnüm edən tuncdan abidə yerləşir.,مقبره‌نین یاخینلیغیندا اؤلمز شاعیرین یاراتدیغی اثرلری ترنّوم ائدن تۇنجدان عابیده یئرلشیر.
common_voice_az_36729341.mp3,Bir çox uşaq televiziya proqramlarında aparıcı kimi çıxış edib.,بیر چوخ اۇشاق تئلئویزی‌یا پروقراملاریندا آپاریجی کیمی چؽخیش ائدیب.
common_voice_az_36729342.mp3,Xəzri zamanı Bakı və Sumqayıt şəhərlərinin havası zərərli qaz və tüstüdən təmizlənir.,خزری زامانی باکی و سۇمقاییت شهرلری‌نین هاواسی ضررلی قاز و تۆستودن تمیزلنیر.
common_voice_az_36729343.mp3,Böyük İpək yolunun bir qolu oradan keçirdi.,بؤیوک ایپک یوْلونون بیر قوْلو اوْرادان کئچیردی.
common_voice_az_36729344.mp3,Etiqad haqqında.,اعتیقاد حاقیندا.
common_voice_az_36729345.mp3,Bu dildə yazılan proqram az yer tutur və tez yerinə yetirilir.,بو دیلده یازیلان پروقرام آز یئر تۇتور و تئز یئرینه یئتیریلیر.
common_voice_az_36729346.mp3,Yataqxana Minsk şəhərinin mərkəzində yerləşir.,یاتاقخانا مینسک شهری‌نین مرکزینده یئرلشیر.
common_voice_az_36729348.mp3,Tarixən Azərbaycana gələn səyyahlar və tacirlər də buradan özləri ilə xalça aparmışlar.,تاریخاً آذربایجانا گلن سیّاحلار و تاجیرلر ده بۇرادان اؤزلری ایله خالچا آپارمیشلار.
common_voice_az_36729350.mp3,Yeni birliyə nəzarət Türkmənistanın Mədəniyyət və Televiziya nazirliyinə tapşırılır.,یئنی بیرلی‌یه نظارت تۆرکمنیستانین مدنیت و تئلئویزی‌یا ناظیرلیگینه تاپشیریلیر.
common_voice_az_36729351.mp3,Düşərgədə həlak oldu.,دۆشرگه‌ده هلاک اوْلدو.
common_voice_az_36729352.mp3,Birinci böyük ibadət zalı.,بیرینجی بؤیوک عیبادت زالی.
common_voice_az_36729353.mp3,Ailənin üç oğlu var.,عائله‌نین اۆچ اوْغلو وار.
common_voice_az_36729354.mp3,Teymur ona qarşı olmuş hücumların bir çoxuna rəhbərlik etmişdir.,تئیمور اوْنا قارشی اوْلموش هۆجوملارین بیر چوخونا رهبرلیک ائتمیشدیر.
common_voice_az_36729355.mp3,Kəndin relyefi dağlıqdır.,کندین رئلیئفی داغلیقدیر.
common_voice_az_36729356.mp3,Səsin əks olunmasından naviqasiya işlərində də istifadə olunur.,سسین عکس اوْلونماسیندان ناویقاسی‌یا ایشلرینده ده ایستیفاده اوْلونور.
common_voice_az_36729357.mp3,Belarus milli futbol komandasına namizəd sayılır.,بئلاروس میلّی فۇتبول کوْمانداسینا نامیزد ساییلیر.
common_voice_az_36729359.mp3,İnqilabdan sonra asılmışdır.,اینقیلابدان سوْنرا آسیلمیشدیر.
common_voice_az_36729360.mp3,Dərisi hamardır.,دری‌سی هاماردیر.
common_voice_az_36729362.mp3,Böyük ədədlər arasında sadə ədədi tapmaq üçün böyük sayda hesablama əməliyyatı həyata keçirmək lazımdır.,بؤیوک عددلر آراسیندا ساده عددی تاپماق اۆچون بؤیوک سایدا حسابلاما عملیاتی حیاتا کئچیرمک لازیمدیر.
common_voice_az_36729369.mp3,Su təminatı çaydan çəkilmiş saxsı borular vasitəsiylə həyata keçirilirdi.,سۇ تأمیناتی چایدان چکیلمیش ساخسی بوْرولار واسیطه‌سی‌یله حیاتا کئچیریلیردی.
common_voice_az_36729371.mp3,Onlarla və yüzlərlə fərddən ibarət dəstələrə rast gəlinir.,اوْنلارلا و یۆزلرله فرددن عیبارت دسته‌لره راست گلینیر.
common_voice_az_36729373.mp3,Bakı Kooperativ Texnikumunda təhsilini başa vurmuşdur.,باکی کوْوپئراتیو تکنیکوموندا تحصیلینی باشا وۇرموشدور.
common_voice_az_36729375.mp3,Keçmiş adı Qəhrəmanlı olmuşdur.,کئچمیش آدی قهرمانلی اوْلموشدور.
common_voice_az_36729376.mp3,Bu kitabla bağlı maraqlı bir fakt vardır.,بو کیتابلا باغلی ماراقلی بیر فاکت واردیر.
common_voice_az_36729379.mp3,İldə iki nəsil verir.,ایلده ایکی نسیل وئریر.
common_voice_az_36729380.mp3,Yayda yağın nadir hallarda yağır.,یایدا یاغین نادیر حاللاردا یاغیر.
common_voice_az_36729381.mp3,Sovet kinosunda ilk dəfə olaraq quraşdırılmış səhnələri çəkib.,سوْوئت کینوسوندا ایلک دفعه اوْلاراق قۇراشدیریلمیش صحنه‌لری چکیب.
common_voice_az_36729382.mp3,Adətən buxarlanma dedikdə suyun buxara çevrilməsi başa düşülür.,عادتاً بۇخارلانما دئدیکده سۇیون بۇخارا چئوریلمه‌سی باشا دۆشولور.
common_voice_az_36729383.mp3,Qəsəbə dəniz sahilində yerləşdiyi üçün belə adlandırılmışdır.,قصبه دنیز ساحیلینده یئرلشدیگی اۆچون بئله آدلاندیریلمیشدیر.
common_voice_az_36729384.mp3,Son nəticədə Hacı Murad işğalçıların tərəfinə keçir.,سوْن نتیجه‌ده حاجی مۇراد ایشغالچیلارین طرفینه کئچیر.
common_voice_az_36729385.mp3,Dəfələrlə beynəlxalq turnirlərin qalibi olub.,دفعه‌لرله بئین‌الخالق تۇرنیرلرین قالیبی اوْلوب.
common_voice_az_36729386.mp3,Proses yüksək temperatur və təzyiq altında gedir.,پروسس یۆکسک تئمپئراتور و تضییق آلتیندا گئدیر.
common_voice_az_36729387.mp3,Hesabı ilə qalib gələrək dünya çempionu adını qazanır.,حسابی ایله قالیب گله‌رک دۆنیا چئمپیونو آدینی قازانیر.
common_voice_az_36729390.mp3,Ona bu işdə Hülakü xan yardım etmişdir.,اوْنا بو ایشده هۆلاکو خان یاردیم ائتمیشدیر.
common_voice_az_36729391.mp3,Bu reallığın əsasını sosial faktlar təşkil edir.,بو رئاللیغین اساسینی سوْسیال فاکتلار تشکیل ائدیر.
common_voice_az_36729392.mp3,Hindistanda bir neçə dəfə iki aylıq rəqs kurslarında iştirak edib.,هیندیستاندا بیر نئچه دفعه ایکی آیلیق رقص کۇرسلاریندا ایشتیراک ائدیب.
common_voice_az_36729393.mp3,Astara rayonunda dəfn olunub.,آستارا رایونوندا دفن اوْلونوب.
common_voice_az_36729394.mp3,Ondan bir oğulu olar.,اوْندان بیر اوْغولو اوْلار.
common_voice_az_36729395.mp3,Yer Ayla Günəşin arasındadır.,یئر آیلا گۆنشین آراسیندادیر.
common_voice_az_36729396.mp3,Buna baxmayaraq oğlu haqqında az məlumata sahibdir.,بۇنا باخمایاراق اوْغلو حاقیندا آز معلوماتا صاحیبدیر.
common_voice_az_36729397.mp3,Müxtəlif mədrəsələrdə xidmət etməsinin ardından qazı olaraq təyinat aldı.,مۆختلیف مدرسه‌لرده خیدمت ائتمه‌سی‌نین آردیندان قاضی اوْلاراق تعیینات آلدی.
common_voice_az_36729398.mp3,Təşkilatın hədəfi imperatorun mütləq hakimiyyətini təmin etməkdən ibarət olmuşdur.,تشکیلاتین هدفی ایمپئراتورون مۆطلق حاکمیتینی تأمین ائتمکدن عیبارت اوْلموشدور.
common_voice_az_36729399.mp3,Potsdam şəhərində anadan olmuşdur.,پوْتسدام شهرینده آنادان اوْلموشدور.
common_voice_az_36729400.mp3,Onu və bütün yaxın ətrafını həbs ediblər.,اوْنو و بۆتون یاخین اطرافینی حبس ائدیبلر.
common_voice_az_36729401.mp3,Komandamız ilk görüşünü Ukrayna komandasına qarşı keçirmişdir.,کوْماندامیز ایلک گؤروشونو اۇکراینا کوْمانداسینا قارشی کئچیرمیشدیر.
common_voice_az_36729402.mp3,Gəmidən Karib dənizini səyahət etmək və digər gəmilərlə döyüşmək üçün istifadə ediləcəkdi.,گمیدن کاریب دنیزینی سیاحت ائتمک و دیگر گمیلرله دؤیوشمک اۆچون ایستیفاده ائدیله‌جکدی.
common_voice_az_36729408.mp3,Və Ədəbiyyat Muzeyinin direktor müavini təyin edildi.,و ادبیات مۇزئیی‌نین دیرئکتور مۆعاوینی تعیین ائدیلدی.
common_voice_az_36729409.mp3,Rusiya Yazıçılar Birliyinin üzvüdür.,رۇسیا یازیچیلار بیرلیگینین عۆضوودور.
common_voice_az_36729410.mp3,Verdiyini mənim üçün bərəkətli et.,وئردیگینی منیم اۆچون برکتلی ائت.
common_voice_az_36729412.mp3,"Alimlər ""Qat""ların məzmununun çox emosional və ""insani"" ruhda olduğunu qeyd edirlər.","عالیملر ""قات""لارین مضمونونون چوخ ائموسیونال و ""اینسانی"" روحدا اوْلدوغونو قئید ائدیرلر."
common_voice_az_36729428.mp3,Ölkə rəhbərliyi mövcud problemə Azərbaycan xalqının münasibətini bilmişdi.,اؤلکه رهبرلیگی مؤوجود پروبلئمه آذربایجان خالقی‌نین مۆناسیبتینی بیلمیشدی.
common_voice_az_36729429.mp3,Körfəzin sahilində Türkmənbaşı limanı yerləşir.,کؤرفزین ساحیلینده تۆرکمنباشی لیمانی یئرلشیر.
common_voice_az_36729430.mp3,Bu atomların hər birinin Yaradıcısı Allahdır.,بو آتوملارین هر بیری‌نین یارادیجی‌سی الله‌دیر.
common_voice_az_36729431.mp3,Qaraçı karvansarası əhəng daşından tikilib.,قاراچی کاروانساراسی اهنگ داشیندان تیکیلیب.
common_voice_az_30644804.mp3,Eşq şeirlərindən əlavə din və təsəvvüf ilə bağlı şeirləri də vardır.,عشق شعرلریندن علاوه دین و تصوّوف ایله باغلی شعرلری ده واردیر.
common_voice_az_34229675.mp3,Orta məktəbi bitirdikdən sonra Ukraynanın Lvov şəhərində hərbi xidmətdə olmuşdur.,اوْرتا مکتبی بیتیردیکدن سوْنرا اۇکراینانین لووو شهرینده حربی خیدمتده اوْلموشدور.
common_voice_az_37445600.mp3,Papanın xahişini qəbul edən Attila geri döndü.,پاپانین خواهیشینی قبول ائدن آتتیلا گئری دؤندو.
common_voice_az_32296128.mp3,Lənkəran şəhərində dəfn olunub.,لنکران شهرینده دفن اوْلونوب.
common_voice_az_28841680.mp3,Qədim alban tarixinin izləri bu ərazidə bir çox yerlərdə var.,قدیم آلبان تاریخی‌نین ایزلری بو اراضیده بیر چوخ یئرلرده وار.
common_voice_az_28841731.mp3,Kəndin yerində müasir qəsəbənin inşası planlaşdırılırdı.,کندین یئرینده مۆعاصیر قصبه‌نین اینشاسی پلانلاشدیریلیردی.
common_voice_az_40474178.mp3,Dəmirçilər Tərtər rayonunun eyniadlı inzibati ərazi vahidində kənd.,دمیرچیلر ترتر رایونونون ائینیادلی اینضیباطی اراضی واحدینده کند.
common_voice_az_40474179.mp3,Mağaraların girəcəyində aşkar edilmiş mədəni təbəqə qalıqları onların qədim insan məskənləri olduğunu göstərir.,ماغارالارین گیره‌جه‌یینده آشکار ائدیلمیش مدنی طبقه قالیقلاری اوْنلارین قدیم اینسان مسکنلری اوْلدوغونو گؤستریر.
common_voice_az_40735347.mp3,Londona hər il dünyanın müxtəlif ərazilərindən turistlər gəlməkdədir.,لوْندونا هر ایل دۆنیانین مۆختلیف اراضیلریندن تۇریستلر گلمکده‌دیر.
common_voice_az_40737697.mp3,"Yəhudilər onu Allahın kainatı yaratmağa başladığı nöqtə kimi qəbul edir və ""Qurtuluş qayası"" deyirlər.","یهودیلر اوْنو الله‌ین کایناتی یاراتماغا باشلادیغی نۆقطه کیمی قبول ائدیر و ""قۇرتولوش قایاسی"" دئییرلر."
common_voice_az_30651706.mp3,Jurnalistlər hekayələrinin əyləncəli hala gəlməsinə səbəb olan müəyyən bir məsələdə faktlar ata bilərlər.,ژۇرنالیستلر حکایه‌لری‌نین ایلنجه‌لی حالا گلمه‌سینه سبب اوْلان مۆعیّن بیر مسئله‌ده فاکتلار آتا بیلرلر.
common_voice_az_30651707.mp3,Onu Ran Min adlı qardaşlığı öldürmüşdü.,اوْنو ران مین آدلی قارداشلیغی اؤلدورموشدو.
common_voice_az_26658645.mp3,Yarada iki əsas dəyişiklik baş verir.,یارادا ایکی اساس دییشیکلیک باش وئریر.
common_voice_az_26658646.mp3,Komsomol gölü yaxınlığında yerləşən mərkəzdən kifayət qədər aralıda yerləşir.,کوْمسومول گؤلو یاخینلیغیندا یئرلشن مرکزدن کیفایت قدر آرالیدا یئرلشیر.
common_voice_az_36638179.mp3,Film iki seriyadan ibarətdir.,فیلم ایکی سئری‌یادان عیبارتدیر.
common_voice_az_36638181.mp3,Bunun səbəbləri müxtəlifdir.,بۇنون سببلری مۆختلیفدیر.
common_voice_az_38555101.mp3,Bəyazid taxta keçdikdən sonra İshaq Paşanı yenidən sədrəzəm seçdi.,بیازید تاختا کئچدیکدن سوْنرا ایسهاق پاشانی یئنیدن صدراعظم سئچدی.
common_voice_az_38555102.mp3,Salar təxəllüsü ilə ruh aləminə uyğun şeirlər yazırdı.,سالار تخلّوصو ایله روح عالمینه اۇیغون شعرلر یازیردی.
common_voice_az_38555103.mp3,Cavabında kazaklar narazı şəxsləri quyuya ataraq öldürdülər.,جاوابیندا کازاکلار ناراضی شخصلری قۇیویا آتاراق اؤلدوردولر.
common_voice_az_38555104.mp3,Netflix nədir?,نئتفلیخ نه‌دیر؟
common_voice_az_38206777.mp3,Müsabiqədən sonra onu artıq hamı tanımağa başlayır.,مۆسابیقه‌دن سوْنرا اوْنو آرتیق هامی تانیماغا باشلاییر.
common_voice_az_38206778.mp3,İnsanlar və heyvanların bitkilərlə zəhərlənməsi müxtəlif səbəblərdən baş verə bilər.,اینسانلار و حئیوانلارین بیتکیلرله زهرلنمه‌سی مۆختلیف سببلردن باش وئره بیلر.
common_voice_az_38206779.mp3,Həmin il Yaponiya Misirin müstəqilliyini tanımışdır.,همین ایل یاپونی‌یا میصیرین مۆستقیللیگینی تانیمیشدیر.
common_voice_az_38206780.mp3,Beş uşaq atası idi.,بئش اۇشاق آتاسی ایدی.
common_voice_az_27426027.mp3,Film Türkiyə yazıçısı Nazim Hikmətin eyniadlı əsərinin motivləri əsasında yaradılmışdır.,فیلم تۆرکیه یازیچی‌سی ناظیم حیکمتین ائینیادلی اثری‌نین موْتیولری اساسیندا یارادیلمیشدیر.
common_voice_az_27426028.mp3,Yuxarı axarlarda bataqlaşmış ərazidən axır və suyu dayaz olur.,یۇخاری آخارلاردا باتاقلاشمیش اراضیدن آخیر و سۇیو دایاز اوْلور.
common_voice_az_27426029.mp3,Ölkə ərazisindən axan Niger çayının adı ilə adlanır.,اؤلکه اراضی‌سیندن آخان نیگئر چایی‌نین آدی ایله آدلانیر.
common_voice_az_27426031.mp3,Elə orta məktəbi də həmin kənddə bitirib.,ائله اوْرتا مکتبی ده همین کندده بیتیریب.
common_voice_az_37653110.mp3,Kolbasa tam və ya doğranmış şəkildə servis edilir.,کوْلباسا تام و یا دوْغرانمیش شکیلده سئرویس ائدیلیر.
common_voice_az_37653112.mp3,Adada göl yoxdur.,آدادا گؤل یوْخدور.
common_voice_az_37653113.mp3,Bayraq mərasimi himnin sonu və cavabdeh müəllimin əmri ilə başa çatır.,بایراق مراسیمی هیمنین سوْنو و جاوابدئه مۆعلّیمین امری ایله باشا چاتیر.
common_voice_az_37653114.mp3,Orta əsrlərdə geniş yayılmış bu oyun klassik ədəbiyyatımızın nümunələrindən də bəllidir.,اوْرتا عصرلرده گئنیش یاییلمیش بو اوْیون کلاسیک ادبیاتیمیزین نۆمونه‌لریندن ده بللیدیر.
common_voice_az_40603073.mp3,Daha sonra həmin məktəbin direktoru olur.,داها سوْنرا همین مکتبین دیرئکتورو اوْلور.
common_voice_az_40603074.mp3,Atası qızına mükəmməl təhsil vermək arzusunda idi.,آتاسی قؽزینا مۆکممل تحصیل وئرمک آرزوسوندا ایدی.
common_voice_az_40603076.mp3,Turizm qoruq ətrafındakı bütün ərazilərin inkişafının əsas sahəsidir.,تۇریزم قوْروق اطرافینداکی بۆتون اراضیلرین اینکیشافی‌نین اساس ساحه‌سیدیر.
common_voice_az_40603077.mp3,Hər yeddi ildən bir keçirilir.,هر یئددی ایلدن بیر کئچیریلیر.
common_voice_az_30416717.mp3,Qrup artıq fəaliyyətini dayandırmışdır.,قروپ آرتیق فعّالیّتینی دایاندیرمیشدیر.
common_voice_az_30416718.mp3,İyunun əvvəlində çiçəkləyir.,ایۇنون اوّلینده چیچکله‌ییر.
common_voice_az_30416719.mp3,Bundan sonra isə körpü bərpa edilməmişdir.,بۇندان سوْنرا ایسه کؤرپو برپا ائدیلمه‌میشدیر.
common_voice_az_30416720.mp3,Dinozavrlar arasında ən uzun boyuna malik imiş.,دینوزاورلار آراسیندا ان اۇزون بوْیونا مالیک ایمیش.
common_voice_az_30416721.mp3,Qurultayda Azərbaycanın bütün bölgələrini və tədris müəssisələrini təmsil edən nümayəndələr iştirak edirdilər.,قۇرولتایدا آذربایجانین بۆتون بؤلگه‌لرینی و تدریس مۆسسیسه‌لرینی تمثیل ائدن نۆماینده‌لر ایشتیراک ائدیردیلر.
common_voice_az_29987070.mp3,Əli Amir uşaq yaşlarında ailəsi ilə birlikdə İsrailə köç edib.,علی آمیر اۇشاق یاشلاریندا عائله‌سی ایله بیرلیکده ایسرائیله کؤچ ائدیب.
common_voice_az_29987078.mp3,Kanalda İngilis və İspan dillərdə proqramlar nümayiş olunur.,کانالدا اینگیلیس و ایسپان دیللرده پروقراملار نۆماییش اوْلونور.
common_voice_az_29987089.mp3,Təhsilini davam etdirmək istəsə də mümkün olmayıb.,تحصیلینی داوام ائتدیرمک ایسته‌سه ده مۆمکون اوْلماییب.
common_voice_az_29987092.mp3,Cənubi Koreyada.,جنوبی کوْرئیادا.
common_voice_az_29987093.mp3,Müxtəlif illərdə fərqli sahələrdə iş fəaliyyətinə başlayır.,مۆختلیف ایللرده فرقلی ساحه‌لرده ایش فعّالیّتینه باشلاییر.
common_voice_az_30574004.mp3,"İngiltərədə nəşr edilmiş bu ""Divan""da məhəbbət lirikası üstünlük təşkil edirdi.","اینگیلتره‌ده نشر ائدیلمیش بو ""دیوان""دا محبّت لیریکاسی اۆستونلوک تشکیل ائدیردی."
common_voice_az_30574005.mp3,Gürcüstan hökumət qüvvələri tez bir zamanda Abxaziyanın böyük bir hissəsinə nəzarəti bərpa etdi.,گۆرجوستان حؤکومت قۆّه‌لری تئز بیر زاماندا آبخازی‌یانین بؤیوک بیر حیصّه‌سینه نظارتی برپا ائتدی.
